port|product_category|exception_type|risk_level|container_count|total_declared_value_usd|total_container_weight_kg|avg_customs_clearance_days|avg_warehouse_delay_days
Vancouver|Electronics||Low risk|1|45000.5|14500.0|2.0|1.0
Vancouver|Auto Parts||Low risk|1|62000.0|22000.0|1.0|0.0
Vancouver|Apparel||Medium Risk|1|18000.0|8500.0|2.0|3.0
Vancouver|Food Ingredients||Medium Risk|1|28000.0|18500.0|1.0|1.0
Vancouver|Medical Supplies||Low risk|1|76000.0|9500.0|0.0|0.0
Vancouver|Industrial Equipment||High Risk|1|93000.0|26500.0|2.0|4.0
Vancouver|Electronics||No Risk|1|12000.0|7600.0|1.0|0.0
Vancouver|Apparel||No Risk|1|9000.0|6200.0|1.0|0.0
Vancouver|Medical Supplies||Medium Risk|1|54000.0|10500.0|1.0|1.0
Vancouver|Food Ingredients||Low risk|1|34000.0|21000.0|0.0|0.0
