inspection_id|vehicle_id|inspection_date|vehicle_type|odometer_km|fuel_litres|fuel_cost_cad|engine_temperature_c|brake_condition|tire_condition|defect_reported|vehicle_status|generated_at|source_file|error_reasons
|VAN-701|2026-07-22|Delivery Van|80400|52.0|80.6|88.2|Good|Good|False|Available|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|inspection_id is blank
INS-GPW-5002||2026-07-22|Box Truck|190200|90.0|139.5|96.0|Good|Good|False|In Service|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|vehicle_id is blank
INS-GPW-5003|TRK-703||Refrigerated Truck|230000|115.0|178.25|94.5|Good|Monitor|False|In Service|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|inspection_date is missing or blank
INS-GPW-5004|TRL-704|2026-07-22||622000|220.0|341.0|105.0|Monitor|Good|False|In Service|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|vehicle_type is blank
INS-GPW-5005|SRV-705|2026-07-22|Service Vehicle|-10|40.0|62.0|85.0|Good|Good|False|Available|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|odometer_km should be >= 0
INS-GPW-5006|VAN-706|2026-07-22|Delivery Van|99000|-5.0|0.0|87.5|Good|Good|False|Available|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|fuel_litres should be >= 0
INS-GPW-5007|BOX-707|2026-07-22|Box Truck|176000|88.0|-20.0|99.0|Good|Monitor|False|In Service|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|fuel_cost_cad should be >= 0
INS-GPW-5008|TRK-708|2026-07-22|Refrigerated Truck|245000|121.0|188.0|170.0|Good|Good|True|Out of Service|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|engine_temperature_c must be between -40 & 150
INS-GPW-5009|TRL-709|2026-07-22|Tractor Trailer|705000|240.0|372.0|104.0|Broken|Good|False|In Service|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|brake_condition must be one of Good Monitor Critical
INS-GPW-5010|SRV-710|2026-07-22|Service Vehicle|70600|45.0|69.75|86.0|Good|Worn|False|Available|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|tire condition must be one of Good Monitor Critical
INS-GPW-5011|VAN-711|2026-07-22|Delivery Van|88200|0.0|42.0|90.0|Good|Good|False|Available|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|when fuel_litres is 0, fuel_cost must be 0 
INS-GPW-5012|BOX-712|2026-07-22|Box Truck|199000|96.0|148.8|101.0|Critical|Good|True|Available|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|when brakes is critical, status must be maintenance / out of service& if defect is reported, status can not be available
INS-GPW-5013|TRK-713|2026-07-22|Refrigerated Truck|260000|128.0|198.4|113.0|Good|Good|False|Available|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|when engine_temperature_c > 110, vehicle_status must not be available
INS-GPW-5014|TRL-714|2026-07-22|Tractor Trailer|680000|225.0|348.75|107.0|Good|Critical|False|In Service|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|when tire is critical, status must be maintenance / out of service
INS-GPW-5015|CAR-715|2026-07-22|Passenger Car|42000|36.0|55.8|82.0|Good|Good|False|Available|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|vehicle_type should be in the vehicle_type list
INS-GPW-5016|SRV-716|2026-07-22|Service Vehicle|64000|41.0|63.55|88.0|Good|Good|True|Available|2026-08-05 19:36:25.657723|fleet_maintenance_grande_prairie_2026_07_22.json|if defect is reported, status can not be available
