supplier_id|supplier_name|product_category|purchase_order_count|total_quantity_ordered|total_quantity_received|total_ordered_value|total_received_value|average_delivery_delay_days|unfulfilled_order_count|high_risk_order_count
SUP-001|Northern Industrial Ltd|Hydraulics|1|40|35|500.0|437.5|0|1|0
SUP-002|Prairie Mechanical Supply|Electrical|1|53|53|1052.0500000000002|1052.0500000000002|0|0|0
SUP-003|Westline Components|Safety|1|66|66|1795.2|1795.2|8.0|0|0
SUP-004|Rocky Mountain Equipment|Bearings|1|79|79|2729.45|2729.45|0|0|0
SUP-005|Frontier Safety Products|Fasteners|1|92|83|3854.7999999999997|3477.7|0|1|0
SUP-006|Atlas Fluid Systems|Pumps|1|105|105|5171.25|5171.25|0|0|0
SUP-007|Summit Electrical Supply|Hydraulics|1|118|118|6678.8|6678.8|0|0|0
SUP-008|Western Bearings Group|Electrical|1|131|111|8377.45|7098.450000000001|0|1|0
SUP-001|Northern Industrial Ltd|Safety|1|144|131|10267.199999999999|9340.3|0|1|0
SUP-002|Prairie Mechanical Supply|Bearings|1|157|157|12348.050000000001|12348.050000000001|0|0|0
SUP-003|Westline Components|Fasteners|1|170|170|14620.0|14620.0|0|0|0
SUP-004|Rocky Mountain Equipment|Pumps|1|183|183|17083.05|17083.05|0|0|0
SUP-005|Frontier Safety Products|Hydraulics|1|196|191|19737.2|19233.7|0|1|0
SUP-006|Atlas Fluid Systems|Electrical|1|209|209|2727.4500000000003|2727.4500000000003|0|0|0
SUP-007|Summit Electrical Supply|Safety|1|42|42|856.8|856.8|0|0|0
SUP-008|Western Bearings Group|Bearings|1|55|55|1526.25|1526.25|0|0|0
SUP-001|Northern Industrial Ltd|Fasteners|1|68|59|2386.8|2070.9|0|1|0
SUP-002|Prairie Mechanical Supply|Pumps|1|81|81|3438.4500000000003|3438.4500000000003|0|0|0
SUP-003|Westline Components|Hydraulics|1|94|94|4681.2|4681.2|0|0|0
SUP-004|Rocky Mountain Equipment|Electrical|1|107|107|6115.05|6115.05|0|0|0
SUP-005|Frontier Safety Products|Safety|1|120|107|7740.0|6901.5|0|1|0
SUP-006|Atlas Fluid Systems|Bearings|1|133|133|9556.05|9556.05|0|0|0
SUP-007|Summit Electrical Supply|Fasteners|1|146|146|11563.2|11563.2|0|0|0
SUP-008|Western Bearings Group|Pumps|1|159|159|13761.449999999999|13761.449999999999|0|0|0
