purchase_order_id|supplier_id|supplier_name|product_category|quantity_ordered|quantity_received|unit_cost|approved_budget|order_date|expected_delivery_date|actual_delivery_date|delivery_status|priority|ordered_value|received_value|budget_variance|delivery_delay|fulfillment_rate|supplier_risk_score|risk_classification
PO-11001|SUP-004|Rocky Mountain Equipment|Bearings|79|79|34.55|2947.81|2026-07-04|2026-07-14||Cancelled|Critical|2729.45|2729.45|0.0|0|100.0|0|None
PO-11003|SUP-006|Atlas Fluid Systems|Pumps|105|105|49.25|4757.55|2026-07-06|2026-07-13||In Transit|Medium|5171.25|5171.25|0.0|0|100.0|0|None
PO-11005|SUP-008|Western Bearings Group|Electrical|131|131|63.95|9047.65|2026-07-08|2026-07-17||Cancelled|Critical|8377.45|8377.45|0.0|0|100.0|0|None
PO-11007|SUP-002|Prairie Mechanical Supply|Bearings|157|157|78.65|13335.89|2026-07-10|2026-07-21||In Transit|Medium|12348.050000000001|12348.050000000001|0.0|0|100.0|0|None
PO-11009|SUP-004|Rocky Mountain Equipment|Pumps|183|183|93.35|18449.69|2026-07-12|2026-07-20||Cancelled|Critical|17083.05|17083.05|0.0|0|100.0|0|None
PO-11010|SUP-005|Frontier Safety Products|Hydraulics|196|191|100.7|21316.18|2026-07-13|2026-07-22|2026-07-22|Delivered|Low|19737.2|19233.7|503.5|0|97.45|0|None
PO-11011|SUP-006|Atlas Fluid Systems|Electrical|209|209|13.05|2945.65|2026-07-14|2026-07-24||In Transit|Medium|2727.4500000000003|2727.4500000000003|0.0|0|100.0|0|None
PO-11012|SUP-007|Summit Electrical Supply|Safety|42|42|20.4|925.34|2026-07-15|2026-07-26||Delayed|High|856.8|856.8|0.0|0|100.0|0|None
PO-11013|SUP-008|Western Bearings Group|Bearings|55|9999|27.75|1404.15|2026-07-16|2026-07-23||Cancelled|Critical|1526.25|277472.25|-275946.0|0|18180.0|20|Low
PO-11014|SUP-001|Northern Industrial Ltd|Fasteners|68|59|35.1|2577.74|2026-07-17|2026-07-25|2026-07-25|Delivered|Low|2386.8|2070.9|315.9000000000001|0|86.76|15|Low
PO-11015|SUP-002|Prairie Mechanical Supply|Pumps|81|81|42.45|3713.53|2026-07-18|2026-07-27||In Transit|Medium|3438.4500000000003|3438.4500000000003|0.0|0|100.0|0|None
PO-11017|SUP-004|Rocky Mountain Equipment|Electrical|107|107|57.15|6604.25|2026-07-20|2026-07-28||Cancelled|Critical|6115.05|6115.05|0.0|0|100.0|0|None
PO-11018|SUP-005|Frontier Safety Products|Safety|120|107|64.5|7120.8|2026-07-01|2026-07-08|2026-07-08|Delivered|Low|7740.0|6901.5|838.5|0|89.17|15|Low
PO-11019|SUP-006|Atlas Fluid Systems|Bearings|133|133|71.85|10320.53|2026-07-02|2026-07-10||In Transit|Medium|9556.05|9556.05|0.0|0|100.0|0|None
PO-11020|SUP-007|Summit Electrical Supply|Fasteners|146|146|79.2|12488.26|2026-07-03|2026-07-12||Delayed|High|11563.2|11563.2|0.0|0|100.0|0|None
PO-11021|SUP-008|Western Bearings Group|Pumps|159|159|86.55|14862.37|2026-07-04|2026-07-14||Cancelled|Critical|13761.449999999999|13761.449999999999|0.0|0|100.0|0|None
PO-11022|SUP-001|Northern Industrial Ltd|Hydraulics|172|167|93.9|17442.86|2026-07-05|2026-07-16|2026-07-16|Delivered|Low|16150.800000000001|15681.300000000001|469.5|0|97.09|0|None
