receipt_id|purchase_order_id|asn_id|supplier_id|supplier_name|warehouse|sku|ordered_qty|shipped_qty|received_qty|damaged_qty|unit_cost|order_date|promised_delivery_date|ship_date|receipt_date|receipt_status|carrier|dock_door|notes|ordered_value|received_value|quantity_variance|fill_rate_pct|damaged_rate_pct|delivery_variance|delivery_performance|received_performance|compliance_status
RCV-WH-YQF-001|PO-202608-1201|ASN-WH-YQF-2001|SUP-101|Prairie Industrial Supply|Red Deer|SKU-1001|30|30|30|1|18.9|2026-08-02|2026-08-09|2026-08-03|2026-08-10|Received|NorthLine Freight|D-02|Count verified|567.0|567.0|0|100.0|3.33|1|Late|Damaged|Multiple issues
RCV-WH-YQF-002|PO-202608-1202|ASN-WH-YQF-2002|SUP-102|Northern Components Ltd|Red Deer|SKU-1002|30|30|30|1|4.75|2026-08-08|2026-08-14|2026-08-10|2026-08-13|Received|Arctic Route Transport|D-03|Late carrier arrival|142.5|142.5|0|100.0|3.33|-1|Early|Damaged|Multiple issues
RCV-WH-YQF-004|PO-202608-1204|ASN-WH-YQF-2004|SUP-104|Westline Safety Products|Red Deer|SKU-1004|75|75|75|2|4.75|2026-08-09|2026-08-12|2026-08-11|2026-08-12|Received|TransWest Logistics|D-07|Count verified|356.25|356.25|0|100.0|2.67|0|On time|Damaged|Damaged_issue
RCV-WH-YQF-005|PO-202608-1205|ASN-WH-YQF-2005|SUP-105|Aurora Equipment Parts|Red Deer|SKU-1005|40|40|40|0|88.4|2026-08-05|2026-08-10|2026-08-06|2026-08-09|Partial|Prairie Haul|D-07|Pallet wrap damaged|3536.0|3536.0|0|100.0|0.0|-1|Early|Exact|Delivery_issue
RCV-WH-YQF-007|PO-202608-1207|ASN-WH-YQF-2007|SUP-102|Northern Components Ltd|Red Deer|SKU-1007|30|30|30|0|88.4|2026-08-01|2026-08-04|2026-08-04|2026-08-05|Rejected|Prairie Haul|D-03|Seal intact|2652.0|2652.0|0|100.0|0.0|1|Late|Exact|Delivery_issue
RCV-WH-YQF-008|PO-202608-1208|ASN-WH-YQF-2008|SUP-103|Rocky Mountain Packaging|Red Deer|SKU-1008|75|80|80|2|25.0|2026-08-08|2026-08-12|2026-08-11|2026-08-11|Received|Arctic Route Transport|D-08|Seal intact|1875.0|2000.0|5|106.67|2.5|-1|Early|Damaged|Multiple issues
RCV-WH-YQF-010|PO-202608-1210|ASN-WH-YQF-2010|SUP-105|Aurora Equipment Parts|Red Deer|SKU-1002|40|45|45|1|18.9|2026-08-05|2026-08-11|2026-08-07|2026-08-12|Rejected|NorthLine Freight|D-08|Count verified|756.0|850.4999999999999|5|112.5|2.22|1|Late|Damaged|Multiple issues
RCV-WH-YQF-011|PO-202608-1211|ASN-WH-YQF-2011|SUP-101|Prairie Industrial Supply|Red Deer|SKU-1003|30|30|30|0|42.75|2026-08-03|2026-08-08|2026-08-05|2026-08-09|Partial|Prairie Haul|D-01|Pallet wrap damaged|1282.5|1282.5|0|100.0|0.0|1|Late|Exact|Delivery_issue
RCV-WH-YQF-013|PO-202608-1213|ASN-WH-YQF-2013|SUP-103|Rocky Mountain Packaging|Red Deer|SKU-1005|100|105|102|2|88.4|2026-08-09|2026-08-16|2026-08-11|2026-08-16|Rejected|TransWest Logistics|D-07|Count verified|8840.0|9016.800000000001|2|102.0|1.96|0|On time|Damaged|Damaged_issue
RCV-WH-YQF-014|PO-202608-1214|ASN-WH-YQF-2014|SUP-104|Westline Safety Products|Red Deer|SKU-1006|30|30|30|1|25.0|2026-08-07|2026-08-13|2026-08-10|2026-08-14|Partial|Arctic Route Transport|D-05|Seal intact|750.0|750.0|0|100.0|3.33|1|Late|Damaged|Multiple issues
RCV-WH-YQF-016|PO-202608-1216|ASN-WH-YQF-2016|SUP-101|Prairie Industrial Supply|Red Deer|SKU-1008|100|95|95|1|88.4|2026-08-03|2026-08-06|2026-08-05|2026-08-08|Partial|Prairie Haul|D-04|Late carrier arrival|8840.0|8398.0|-5|95.0|1.05|2|Late|Short & damaged|Multiple issues
RCV-WH-YQF-017|PO-202608-1217|ASN-WH-YQF-2017|SUP-102|Northern Components Ltd|Red Deer|SKU-1001|50|50|50|0|18.9|2026-08-03|2026-08-08|2026-08-04|2026-08-08|Partial|NorthLine Freight|D-06||944.9999999999999|944.9999999999999|0|100.0|0.0|0|On time|Exact|Compliant
RCV-WH-YQF-019|PO-202608-1219|ASN-WH-YQF-2019|SUP-104|Westline Safety Products|Red Deer|SKU-1003|30|30|27|0|7.5|2026-08-07|2026-08-13|2026-08-08|2026-08-14|Rejected|TransWest Logistics|D-02|Seal intact|225.0|202.5|-3|90.0|0.0|1|Late|Short|Multiple issues
RCV-WH-YQF-020|PO-202608-1220|ASN-WH-YQF-2020|SUP-105|Aurora Equipment Parts|Red Deer|SKU-1004|100|95|95|0|25.0|2026-08-08|2026-08-12|2026-08-11|2026-08-12|Received|Arctic Route Transport|D-08|Count verified|2500.0|2375.0|-5|95.0|0.0|0|On time|Short|Quantity_issue
RCV-WH-YQF-020|PO-202608-1221|ASN-WH-YQF-2021|SUP-101|Prairie Industrial Supply|Red Deer|SKU-1005|40|40|40|0|4.75|2026-08-01|2026-08-08|2026-08-02|2026-08-08|Received|NorthLine Freight|D-05|Late carrier arrival|190.0|190.0|0|100.0|0.0|0|On time|Exact|Compliant
RCV-WH-YQF-022|PO-202608-1222|ASN-WH-YQF-2022|SUP-102|Northern Components Ltd|Red Deer|SKU-1006|20|20|20|0|88.4|2026-08-02|2026-08-06|2026-08-05|2026-08-06|Received|Arctic Route Transport|D-08|Pallet wrap damaged|1768.0|1768.0|0|100.0|0.0|0|On time|Exact|Compliant
